City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,mossel bay,-34.1831,22.146,73.33,53,100,5.59,ZA,1685710868
329,happy valley-goose bay,53.3168,-60.3315,35.91,69,100,11.5,CA,1685710868
330,abadan,30.3392,48.3043,107.55,7,0,26.46,IR,1685710870
331,tame,6.461,-71.73,74.26,91,100,1.43,CO,1685710870
332,buraydah,26.326,43.975,100.85,13,0,11.95,SA,1685710703
333,madiun,-7.6298,111.5239,76.78,81,100,9.95,ID,1685710871
334,high river,50.5834,-113.8687,45.95,93,27,3.49,CA,1685710871
335,mooirivier,-29.2082,29.9946,61.59,27,0,5.82,ZA,1685710871
336,brisas de zicatela,15.8369,-97.0419,82.51,79,1,4.92,MX,1685710872
337,awjilah,29.1081,21.2869,92.95,17,83,15.37,LY,1685710872
338,porto velho,-8.7619,-63.9039,78.85,83,20,5.75,BR,1685710740
339,greymouth,-42.4667,171.2,56.53,59,9,24.72,NZ,1685710839
340,tayshet,55.9342,98.0044,62.62,62,88,4.61,RU,1685710874
341,al jawf,29.5,38.75,98.15,14,8,6.11,SA,1685710875
342,saint-joseph,-21.3667,55.6167,75.58,73,46,14.65,RE,1685710875
343,obala,4.1667,11.5333,85.71,61,100,1.7,CM,1685710876
344,severo-yeniseyskiy,60.3725,93.0408,68.54,49,100,4.88,RU,1685710876
345,gazojak,41.1875,61.4036,97.97,6,93,10.58,TM,1685710877
346,tralee,52.2704,-9.7026,71.85,53,0,8.05,IE,1685710877
347,tamanrasset,22.785,5.5228,93.11,7,0,9.22,DZ,1685710878
348,iquique,-20.2208,-70.1431,64.44,62,0,2.37,CL,1685710878
349,golyshmanovo,56.3979,68.3728,86.32,47,81,4.07,RU,1685710878
350,umm kaddadah,13.6017,26.6876,101.75,16,46,5.64,SD,1685710879
351,alice springs,-23.7,133.8833,54.95,41,0,0.0,AU,1685710879
352,matoury,4.8483,-52.3317,84.16,74,75,4.61,GF,1685710880
353,zag,46.9441,99.165,45.95,65,95,8.66,MN,1685710880
354,santa ana de yacuma,-13.75,-65.4333,77.18,72,0,2.44,BO,1685710880
355,alto araguaia,-17.3147,-53.2153,73.85,58,0,6.13,BR,1685710881
356,dalbandin,28.8947,64.4101,103.05,6,6,20.94,PK,1685710881
357,levuka,50.1834,-105.4011,62.33,100,100,2.3,CA,1685710881
358,cerritos,33.8583,-118.0648,62.89,84,100,8.05,US,1685710735
359,east end,34.5507,-92.341,75.76,91,1,2.55,US,1685710882
360,kuantan,3.8077,103.326,86.11,74,20,3.44,MY,1685710858
361,homer,59.6425,-151.5483,47.8,67,100,11.01,US,1685710883
